N° C.,Extension,Autres n°,Appellation,Position,Pays,"Province  (Tỉnh, Thành Phố)",District (Huyện ou Thì xã),Commune  (Xã),Village  (Thôn),Localisation inv. 2009-,Localisation inv. 1923-1942,Support,Indice,Lignes,Langue,Dimensions de l'objet (h/l/p) en cm sauf autre mention,"Epoque (ère śaka, etc.)",Epoque (cal. julien),Estampage(s) EFEO,Estampage(s) BnF,Photos estampages EFEO,Photo(s) EFEO,Bibliographie principale (édition),Bibliographie secondaire,Notes,Légende,,
42,,,,,Vietnam,Gia Lai,,,Drang Lai,"Boston, Museum of Fine Art, 1986.331","Yaṅ Mum, près de Cheo Reo",Statue de Śiva,,14,ch.,,1331,,266; n. 509,,,,,"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261???, 604. — P., 563. Schweyer 2005; 2006.","An unidentified estampage has been reproduced as fig. 8 (p. 43) in A.-V. Schweyer, “Les sources épigraphiques”, pp. 36-47 in P. Baptiste et T. Zéphir (réds.), Trésors d’art du Vietnam. La sculpture du Champa Ve-XVe siècles. Paris 2005. This is EFEO n. 509.",,,
43,,,,,Vietnam,Gia Lai,,,Drang Lai,"Đà Nẵng : 1, 8 = BTC 166/1 (stèle) + 166/2 (socle)","Yaṅ Mum, près de Cheo Reo",Stèle usée,A,invocation + 22,ch.,,XIVe,,267; n. 510; n. 2122,,,,,"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261. — P., 563.",Cœdès omet 4e face: pas comprise dans lot EFEO 267? Transporté au musée en 1927 ou 1935?,,,
43,,,,,Vietnam,Gia Lai,,,Drang Lai,"Đà Nẵng : 1, 8 = BTC 166/1 (stèle) + 166/2 (socle)","Yaṅ Mum, près de Cheo Reo",Stèle usée,B,23,ch.,,XIVe,,267; n. 510; n. 2123,,,,,"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261. — P., 563.",Cœdès omet 4e face: pas comprise dans lot EFEO 267? Transporté au musée en 1927 ou 1935?,,,
43,,,,,Vietnam,Gia Lai,,,Drang Lai,"Đà Nẵng : 1, 8 = BTC 166/1 (stèle) + 166/2 (socle)","Yaṅ Mum, près de Cheo Reo",Stèle usée,c,23,ch.,,XIVe,,267; n. 510; n. 2124,,,,,"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261. — P., 563.",Cœdès omet 4e face: pas comprise dans lot EFEO 267? Transporté au musée en 1927 ou 1935? Il a fallu renommer faces c>d et d>c.,,,
43,,,,,Vietnam,Gia Lai,,,Drang Lai,"Đà Nẵng : 1, 8 = BTC 166/1 (stèle) + 166/2 (socle)","Yaṅ Mum, près de Cheo Reo",Stèle usée,d,9,ch.,,XIVe,,n. 510; n. 2125,,,,,"BEFEO I, 413 ; II, 227, 282 ; IV, 535 ; XV (2), 13 ; XXVII, 460 ; XXVIII, 261. — P., 563.",Cœdès omet 4e face: pas comprise dans lot EFEO 267? Transporté au musée en 1927 ou 1935? Il a fallu renommer faces c>d et d>c.,,,
44,,,,,Vietnam,Phú Yên,,,Phươc-tịnh,,In situ,Statue debout,,34,ch.,,,,267 bis,,,,,"BEFEO II, 227, 281 ; XV (2), 13. — P., 137.",,,,
45,,,,,Vietnam,Phú Yên,,,Phươc-tịnh,,In situ,Statue de Śiva,,12,ch.,,1333,,268,,,,,"BEFEO II, 227, 281 ; XV (2), 13. — P., 137.",,,,
46,,,,,Vietnam,Phú Yên,,,Phươc-tịnh,,In situ,Buddha,,4,ch.,,VIe (?),,269,,,,,"BEFEO II, 227, 281 ; XV (2), 13. — P., 137.",ye dharmāḥ,,,
47,,,,Citadelle,Vietnam,Bình Định,,,Bình Định,BTLS Hanoi 21158,"Hanoi : B 2, 23",Inscription extraite de la plinthe de la porte royale,,19,ch.,121+/33/28 cm,1323,,264 ; n. 151,,,,"BEFEO XV (2), 12.","P., 178 (41).","Deux mortaises sont à noter sur la face inscrite, et suggèrent réemploi de la pierre.",,,
48,,,,Citadelle,Vietnam,Bình Định,,,Bình Định,BTLS Hanoi 42279,"Hanoi : B 2, 24",Pierre ruinée extraite de la plinthe de la porte Ouest,,13 (illisibles),ch.,,,,275 ; n. 152,,,,,"P., 178 (43) (2). — BEFEO XV (2), 14.","Cœdès 1923, p. 151 n. 2 : « C. 48, 49. — Les mesures et le nombre de lignes ont été interchangés entre les nos 43 et 40 de P., 178. » La pierre portant actuellement le no. d'inv. 21171, correspondant dans les registres du BTLS Hanoi à l'ancien B 2, 24, porte une inscription non encore identifiée qui n'est de toute façon pas C. 48. On soupçonne une confusion dans les inventaires, la disparition de la pierre portant C. 48 et l'apparition d'une autre pierre pas encore connue à l'époque coloniale.",,,
49,,,,Citadelle,Vietnam,Bình Định,,,Bình Định,,Disparue,Pierre ruinée extraite du dallage de la niche de la porte Ouest,,"10, la dernière seule entière",(?),,,,276,414 (46),,,,"JA 1888 (1), 74 (3). — P., 178 (40) (2).","Cœdès 1923, p. 151 n. 3 : « C. 49. — L'identité est presque certaine. »",,,
50,,,,Citadelle,Vietnam,Bình Định,,,Bình Định,,(?),Inscription illisible,,15,(?),57/23,XIIIe,,,412 (46),,,,"JA 1888 (1), 105 ; 1891 (1), 84. — P., 220.",,,,
51,,,,,Vietnam,Bình Định,,,(?),,(?),4 fragments d'inscription,,,ch.,,XIVe,,,419 (46),,,,"JA 1888 (1), 105 ; 1891 (1), 84. — P., 220.",,,,
51,bis,,,,Vietnam,Bình Định,,,(?),,(?),Petits fragments d'une inscription sur 2 faces,,,ch.,,,,,418 (46),,,,"JA 1888 (1), 73.",,,,
52,,,,Pagode de Kim-châu,Vietnam,Bình Định,,,Bình Định,,(?),Stèle,,29,ch.,,XIIe,,,411 (46),,,,"JA 1888 (1), 92 ; 1891 (1), 53. — P., 220. — BEFEO IX, 618 ; XI, 472. — BCAI 1910, 102.",,,,
53,,,,,Vietnam,Bình Định,,,An-thuận,,In situ,Stèle rognée,B,3,ch.,,XIIe,,,422 (46),,,,"JA 1891 (1), 45. — P., 220. —BEFEO IX, 618 ; XI, 277, 473. — BCAI 1910, 102.",,,,
53,,,,,Vietnam,Bình Định,,,An-thuận,,In situ,Stèle rognée,A,invocation + 2,sk.,,XIIe,,,422 (46),,,"ISCC n° XXXIII, 286.","JA 1891 (1), 45. — P., 220. —BEFEO IX, 618 ; XI, 277, 473. — BCAI 1910, 102.",,,,
54,,,,,Vietnam,Bình Định,,,An-thuận,,In situ,Stèle,B,7,ch.,,XIe,,734,424 (46),,,,"JA 1888 (1), 88 ; 1891 (1), 46. — P., 220. — BEFEO IX, 618 ; XI, 277, 472. — BCAI 1910, 102.",,,,
54,,,,,Vietnam,Bình Định,,,An-thuận,,In situ,Stèle,A,13,ch.,,XIe,,734,424 (46),,,,"JA 1888 (1), 88 ; 1891 (1), 46. — P., 220. — BEFEO IX, 618 ; XI, 277, 472. — BCAI 1910, 102.",,,,
55,,,,,Vietnam,Bình Định,,,Kim-ngọc,,Pagode du village de Than-sơn,Fragment de stèle,A,6,ch.,,1187,,,423 (46),,,,"JA 1888 (1), 104 ; 1891 (1), 66. — P., 220. — BEFEO IX, 618 ; XI, 472. — BCAI 1910, 102.",,,,
55,,,,,Vietnam,Bình Định,,,Kim-ngọc,,Pagode du village de Than-sơn,Fragment de stèle,B,8,ch.,,1187,,,423 (46),,,,"JA 1888 (1), 104 ; 1891 (1), 66. — P., 220. — BEFEO IX, 618 ; XI, 472. — BCAI 1910, 102.",,,,
56,,,,,Vietnam,Bình Định,,,Núi Ben Lang,,(?),Stèle à trois faces,A,9,ch.,,1358,,,413 (54),,,,"JA 1888 (1), 104 ; 1891 (1), 83. — P., 220. — BEFEO IX, 618. — BCAI 1910, 102. — Majumdar, p. 225; Golzio, pp. 200-201",,,,
56,,,,,Vietnam,Bình Định,,,Núi Ben Lang,,(?),Stèle à trois faces,B,10,ch.,,1358,,,413 (54),,,,"JA 1888 (1), 104 ; 1891 (1), 83. — P., 220. — BEFEO IX, 618. — BCAI 1910, 102. — Majumdar, p. 225; Golzio, pp. 200-201",,,,
56,,,,,Vietnam,Bình Định,,,Núi Ben Lang,,(?),Stèle à trois faces,c,10,ch.,,1358,,,413 (54),,,,"JA 1888 (1), 104 ; 1891 (1), 83. — P., 220. — BEFEO IX, 618. — BCAI 1910, 102. — Majumdar, p. 225; Golzio, pp. 200-201",,,,
57,,,,,Vietnam,Bình Định,,,Cà Xơm,"lost? (see Report on discovery of Thap Doi pillar, Binh Dinh Museum)",In situ,Stèle,,invocation + 10,ch.,,XIVe,,28,449 (53),,,,"JA 1899 (2), 544. — P., 565.",,,,
58,,,,,Vietnam,Bình Định (?),,,Phú Sơn (?),Perdue,"Chez M. Navelle, ancien consul à Qui Nhơn",Vase,,1,ch.,,1181,,,420 (46),,,"JA 1891 (1), 58. — BEFEO XV (2), 51.","E&R XIII, 146. — JA 1888 (1), 96. — P., 220.",,,,
59,,,,,Vietnam,Bình Định,,,Phú-sơn,,"Chez M. Navelle, ancien consul à Qui-nhơn",Support en métal,,1,ch.,,,,,421 (46),,,,"JA 1888 (1), 73. — P., 220.",,,,
60,,,,,Vietnam,Bình Định,Hoài Nhơn,Hoài Châu,Thạnh Sơn Tây (Hồ Hố Giang),In situ,In situ,Roc,,14,ch.,,XIVe,,285,,,,,"BEFEO II, 306. — P., 220.",Est. EFEO 285 pas retrouvé. Site visited by TP on 25/05/2012.,,,
61,,,,,Vietnam,Quảng Ngãi,,,Châu Sa,BTLS Hanoi LSb 21160,"Hanoi : B 2, 21",Stèle usée,A2,1,ch.,108+/45/24,825,,29 ; n. 149,,,,"BEFEO XI, 282.","P., 236. — BEFEO XV (2), 11.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle; l'adjectif « usé » qu'emploie BEFEO XV est beaucoup plus approprié.,,,
61,,,,,Vietnam,Quảng Ngãi,,,Châu Sa,BTLS Hanoi LSb 21160,"Hanoi : B 2, 21",Stèle usée,A1,22,sk.,108+/45/24,825,,29 ; n. 149,,,,"BEFEO XI, 282.","P., 236. — BEFEO XV (2), 11.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle; l'adjectif « usé » qu'emploie BEFEO XV est beaucoup plus approprié.,,,
61,,,,,Vietnam,Quảng Ngãi,,,Châu Sa,BTLS Hanoi LSb 21160,"Hanoi : B 2, 21",Stèle usée,c,22,ch.,108+/45/24,825,,29 ; n. 149,,,,"BEFEO XI, 282.","P., 236. — BEFEO XV (2), 11.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle; l'adjectif « usé » qu'emploie BEFEO XV est beaucoup plus approprié.,,,
61,,,,,Vietnam,Quảng Ngãi,,,Châu Sa,BTLS Hanoi LSb 21160,"Hanoi : B 2, 21",Stèle usée,d,22,ch.,108+/45/24,825,,29 ; n. 149,,,,"BEFEO XI, 282.","P., 236. — BEFEO XV (2), 11.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle; l'adjectif « usé » qu'emploie BEFEO XV est beaucoup plus approprié.,,,
61,,,,,Vietnam,Quảng Ngãi,,,Châu Sa,BTLS Hanoi LSb 21160,"Hanoi : B 2, 21",Stèle usée,B,(?),sk. (?),108+/45/24,825,,29 ; n. 149,,,,"BEFEO XI, 282.","P., 236. — BEFEO XV (2), 11.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle; l'adjectif « usé » qu'emploie BEFEO XV est beaucoup plus approprié.,,,
62,,,,,Vietnam,Quảng Ngãi,,,Chánh Lộ,,Résidence de Quảng-ngãi,Fragment de piédroit,,11,ch.,,,,345,,,,,"BEFEO IV, 492. — P., 233.",Cf. *QNhgai1 et *QNgai2,,,
63,,,,,Vietnam,Quảng Nam,,,Khướng-mỷ,BTLS Hanoi LSb 21161,"Hanoi : B 2, 20",Fragment de piédroit,A,9,ch.,69/57/93,,,30 ; n. 148,438 (78),,,"ECIC IX, 35-36","JA 1896 (1), 150. — P., 268. — BEFEO XV (2), 11.","La détermination en tant que « fragment de stèle » que donne Cœdès à la suite de BEFEO XV est certainement fausse, et il y a des traces de 9 et non pas de 8 lignes. Les publications existantes ne mentionnent pas que le fragment comporte une deuxième face inscrite, ici appelée B.",,,
63,,,,,Vietnam,Quảng Nam,,,Khướng-mỷ,BTLS Hanoi LSb 21161,"Hanoi : B 2, 20",Fragment de piédroit,B,3 visibles,ch.,69/57/93,,,n. 1848,,,,"ECIC IX, 35-36","JA 1896 (1), 150. — P., 268. — BEFEO XV (2), 11.","La détermination en tant que « fragment de stèle » que donne Cœdès à la suite de BEFEO XV est certainement fausse. Les publications existantes ne mentionnent pas que le fragment comporte une deuxième face inscrite, ici appelée B.",,,
64,,,,,Vietnam,Quảng Nam,,,Chiên Đàng,In situ,In situ,Roc,1er fragment,9,ch.,94/190/88,XIe,,31 ; n. 266,425 (74) et 434-435 (78),,,,"JA 1891 (1), 86, note ; 1896 (1), 148. — BGHD 1896, 93. — BEFEO XIX (3), 12. — P., 278.","le roc a perdu plusieurs une portion assez importante (comportant plusieurs akṣara) du côté gauche pour le lecteur, depuis la facture de l'estampage n. 266. Donner coordonées adm. Actuels pour le site, Chien Dang n'étant pas officiellement un Thon?",,,
64,,,,,Vietnam,Quảng Nam,,,Chiên Đàng,Introuvable,In situ,Roc,2e fragment,4,ch.,,XIe,,31 ; n. 266,425 (74) et 434-435 (78),,,,"JA 1891 (1), 86, note ; 1896 (1), 148. — BGHD 1896, 93. — BEFEO XIX (3), 12. — P., 278.",ce fragment n'est pas retrouvable actuellement (2009) sur le site.,,,
64,,,,,Vietnam,Quảng Nam,,,Chiên Đàng,"Đà Nẵng : 1, 4 = BTC 83","Tourane : 1, 4",Roc,3e fragment,5,ch.,41+/67+/?,XIe,,31 ; n. 266,425 (74) et 434-435 (78),,,,"JA 1891 (1), 86, note ; 1896 (1), 148. — BGHD 1896, 93. — BEFEO XIX (3), 12. — P., 278.",,,,
65,,,,,Vietnam,Quảng Nam,,,Hà-lam,,In situ,Snānadroṇī,,1,sk.,,,,32 ; n. 259,437 (78),,,,"P., 283.",,,,
66,,,,Grand temple,Vietnam,Quảng Nam,,,Đồng Dương,In situ,In situ,Stèle,A,26,sk.,,797,,33 ; n. 264,"426 (71), 427 (74) et 429-430 (76)",,,"BEFEO IV, 84.","JA 1896 (1), 147. — P., 484.",actuellement en état très endommagé,,,
66,,,,Grand temple,Vietnam,Quảng Nam,,,Đồng Dương,In situ,In situ,Stèle,B,25,sk.,,797,,33 ; n. 264,"426 (71), 427 (74) et 429-430 (76)",,,"BEFEO IV, 84.","JA 1896 (1), 147. — P., 484.",actuellement en état très endommagé,,,
66,,,,Grand temple,Vietnam,Quảng Nam,,,Đồng Dương,In situ,In situ,Stèle,c,23,sk.,,797,,33 ; n. 264,"426 (71), 427 (74) et 429-430 (76)",,,"BEFEO IV, 84.","JA 1896 (1), 147. — P., 484.",actuellement en état très endommagé,,,
66,,,,Grand temple,Vietnam,Quảng Nam,,,Đồng Dương,In situ,In situ,Stèle,d,31,sk.,,797,,33 ; n. 264,"426 (71), 427 (74) et 429-430 (76)",,,"BEFEO IV, 84.","JA 1896 (1), 147. — P., 484.",actuellement en état très endommagé,,,
67,,,,Temple au nord de la tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,In situ,Stèle,A,invocation + 17,sk.,,IXe,,34 ; n. 265,428 (74) et 431-432 (77),,,"BEFEO IV, 105.","JA 1896 (1), 147. — P., 282.",,,,
67,,,,Temple au nord de la tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,In situ,Stèle,B,invocation + 15 fragments de ligne,sk.,,IXe,,34 ; n. 265,428 (74) et 431-432 (77),,,"BEFEO IV, 105.","JA 1896 (1), 147. — P., 282.",,,,
67,,,,Temple au nord de la tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,In situ,Stèle,c,invocation + 14,ch.,,IXe,,34 ; n. 265,428 (74) et 431-432 (77),,,"BEFEO IV, 105.","JA 1896 (1), 147. — P., 282.",,,,
67,,,,Temple au nord de la tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,In situ,Stèle,d,6 fragments de ligne,ch.,,IXe,,34 ; n. 265,428 (74) et 431-432 (77),,,"BEFEO IV, 105.","JA 1896 (1), 147. — P., 282.",,,,
68,,,,Tour Sud-Ouest du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,In situ,Piédroit,,2,ch.,,Xe,,281,,,,"BEFEO IV, 112.","P., 450.",,,,
69,,,,Tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,Disparue,Fragment,,,(?),,,,282,,,,,"BEFEO III, 85.",,,,
70,,,,Tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,Disparue,Fragment,,,(?),,,,283,,,,,"BEFEO III, 85.",,,,
71,,,,Tour centrale du grand temple,Vietnam,Quảng Nam,,,Đồng Dương,,Disparue,Fragment,,,(?),,,,284,,,,,"BEFEO III, 85.",,,,
72,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21165,"Hanoi : B 2, 2",Stèle,B,10,sk.,199+/114/25,Ve,,37 ; n. 130,442 (77),,,"BEFEO II, 187.","BEFEO III, 209 ; IV, 9171 ; XV (2), 5. — P., 357.",,,,
72,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21165,"Hanoi : B 2, 2",Stèle,A,11,sk.,199+/114/25,Ve,,37 ; n. 130,442 (77),,,"BEFEO II, 187.","BEFEO III, 209 ; IV, 9171 ; XV (2), 5. — P., 357.","Cœdès 1923, p. 151 n. 4 : « C. 72. — Pour la signification des abréviations A, B1 etc. etc., cf. Parmentier, Le Cirque de Mĩ-sơn, BE., IV, 805, et Inventaire, p. 337 et suiv. »",,,
73,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21153,"Hanoi : B 2, 3",Stèle brisée en deux,A,24,sk.,103+/72/13,antérieure à la suivante,,"278, 279 ; n. 131",443 (77),,,"BEFEO III, 206.","BEFEO IV, 91711 ; XI, 264 ; XV (2), 5. — P., 357.",la stèle est actuellement brisée en plusieurs morceaux (2009),,,
73,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi LSb 21153,"Hanoi : B 2, 3",Stèle brisée en deux,B,22,sk.,103+/72/13,5xx,,"278, 279 ; n. 131",443 (77),,,"BEFEO III, 206.","BEFEO IV, 91711 ; XI, 264 ; XV (2), 5. — P., 357.",la stèle est actuellement brisée en plusieurs morceaux (2009) Cœdès comptait 24 lignes.,,,
74,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi 21177,"Hanoi : B 2, 4",Stèle usée,A,invocation + 11,sk.,89+/47/12,VIe-VIIe,,277 ; n. 132,,,,"BEFEO IV, 932.","BEFEO XI, 265 ; XV (2), 5. — P., 357.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle.,,,
74,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,BTLS Hanoi 21177,"Hanoi : B 2, 4",Stèle usée,B,12,sk.,89+/47/12,653,,277 ; n. 132,,,,"BEFEO IV, 932.","BEFEO XI, 265 ; XV (2), 5. — P., 357.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle.,,,
75,,,,Monument B,Vietnam,Quảng Nam,,,Mỹ Sơn,,Cour D,Bloc,,4,ch.,,713 (faux) ou 913,,321 ; n. 332,,,,"BEFEO IV, 113.","BEFEO IV, 933xi ; XV (2), 49. — P., 382.","Cœdès 1923, p. 151 n. 5 : « C. 75. — Placée ici suite d'une erreur imputable à une faute d'impression qui s'est glissée dans le tableau des inscriptions de Mĩ-sơn (BE., IV, 977), et qui donne pour origine à cette stèle le monument A1. » Le fait que Cœdès met ""Cour D"" sous Situation actuelle et non ""In situ"" semble être une simple incohérence.",,,
76,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle ruinée,,,ch.,,XIe,,317,,,,"BEFEO IV, 977xxvi.","P., 357.",,,,
77,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Stèle brisée,,12,sk.,,VIIe,,334,,,,"BEFEO IV, 977xxvi.","P., 357.",,,,
78,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Fragment de piédroit,,,(?),,,,337; n. 1074; n. 2086,,,,,"BEFEO IV, 899, 977xxvi. — P., 357.",Confusion avec C. 76? Voir fichiers text. Photos des estampages dLdL faites.,,,
79,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,"Mỹ Sơn : Salle d'exposition, 03MSA1.25",In situ,Piédestal,,2,sk.,,VIe,,336 ; n. 2071,,,,"BEFEO IV, 928v. —ECIC V.","P., 357.","il ne s'agit pas d'une dalle, mais d'un socle",,,
80,,,,Temple A,Vietnam,Quảng Nam,,,Mỹ Sơn,In situ,In situ,Piédestal,,1,sk.,,VIe,,333 ; n. 2089,,,,"BEFEO IV, 929vii. — ECIC V.","P., 357.",,,,
81,,,,derrière B6,Vietnam,Quảng Nam,,,Mỹ Sơn,"Đà Nẵng : 1, 2","Tourane : 1, 2",Stèle usée,A,invocation + 12,sk.,"98/50/14,5",VIIe,,318 ; n. 165,,,,"BEFEO IV, 928vi.","BEFEO XI, 267 ; XIX (3), 11. — P., 381.",,,,
81,,,,derrière B6,Vietnam,Quảng Nam,,,Mỹ Sơn,"Đà Nẵng : 1, 2","Tourane : 1, 2",Stèle usée,B,15,sk.,"98/50/14,5",633,,318 ; n. 165,,,,"BEFEO IV, 928vi.","BEFEO XI, 267 ; XIX (3), 11. — P., 381.",Cœdès appelle l'objet « Stèle ruinée » ce qui ne convient pas à l'état réel de la stèle. Le millésime 630 proposé par Huber et retenu par GC manque le moindre fondement.,,,
81,,,,derrière B6,Vietnam,Quảng Nam,,,Mỹ Sơn,"Đà Nẵng : 1, 2","Tourane : 1, 2",Stèle usée,c,13,sk.,"98/50/14,5",VIIIe,,318 ; n. 165,,,,"BEFEO IV, 928vi.","BEFEO XI, 267 ; XIX (3), 11. — P., 381.",,,,
82,,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Inscription sur deux pierres provenant de la paroi sud du vestibule,,8,ch.,,1036,,319 et 320 ; n. 334,,,,"BEFEO IV, 951xvii.","P., 382.",,,,
83,3,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur nord,,10,ch.,,XIIe,,322 ; n. 335,,,,"BEFEO IV, 952xviii.","BEFEO XV (2), 52. — P., 382.",,,,
83,4,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur nord,,11 illisibles,ch.,,XIIe,,322 ; n. 335,,,,"BEFEO IV, 952xviii.","BEFEO XV (2), 52. — P., 382.",,,,
83,2,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur nord,,13,sk.,,XIe,,322 ; n. 335,,,,"BEFEO IV, 952xviii.","BEFEO XV (2), 52. — P., 382.",,,,
83,1,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur nord,,6,ch.,,1062,,322 ; n. 335,,,,"BEFEO IV, 952xviii.","BEFEO XV (2), 52. — P., 382.",,,,
84,2,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur sud,,10,sk.,,XIIe,,323 ; n. 338,,,,"BEFEO IV, 966xxii.","P., 382.",,,,
84,1,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur sud,2,4,ch.,,XIe,,323 ; n. 338,,,,"BEFEO IV, 966xxii.","P., 382.",,,,
84,1,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit extérieur sud,1,5,sk.,,XIe,,323 ; n. 338,,,,"BEFEO IV, 966xxii.","P., 382.",,,,
85,,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit intérieur sud,,19,sk.,,1085,,324 ; n. 339,,,,"BEFEO IV, 969xxiii.","P., 382.",,,,
86,1,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit intérieur nord,,10,ch.,,1156,,325 ; n. 341,,,,"BEFEO IV, 976xxv.","P., 382.",assez usé actuellement (2009) ; les deux parties de C. 86 se trouvent en fait sur des pierres distinctes (dans leurs dimensions aussi bien que dans leur positions actuelles),,,
86,2,,,Monument B1,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroit intérieur nord,,8,ch.,,1152,,325 ; n. 341,,,,"BEFEO IV, 976xxv.","P., 382.",,,,
87,,,,derrière Monument B,Vietnam,Quảng Nam,,,Mỹ Sơn,Đà Nẵng : BTC 04/1 (stèle) + 04/2 (socle),"Tourane : 1, 1",Stèle,A,invocation + 12,sk.,87+/55/18,609,,328 ; n. 164,,,,"BEFEO IV, 925iv.","BEFEO XV (2), 190 ; XIX (3), 11. — P., 381.",,,,
87,,,,derrière Monument B,Vietnam,Quảng Nam,,,Mỹ Sơn,Đà Nẵng : BTC 04/1 (stèle) + 04/2 (socle),"Tourane : 1, 1",Stèle,B1,4,sk.,87+/55/18,609,,328 ; n. 164,,,,"BEFEO IV, 925iv.","BEFEO XV (2), 190 ; XIX (3), 11. — P., 381.",,,,
87,,,,derrière Monument B,Vietnam,Quảng Nam,,,Mỹ Sơn,Đà Nẵng : BTC 04/1 (stèle) + 04/2 (socle),"Tourane : 1, 1",Stèle,B2,7,sk.,87+/55/18,609,,328 ; n. 164,,,,"BEFEO IV, 925iv.","BEFEO XV (2), 190 ; XIX (3), 11. — P., 381.",,,,
88,,,,Monument B,Vietnam,Quảng Nam,,,Mỹ Sơn,,In situ,Piédroits ruinés de la porte sud,,,(?),,,,"315, 316, 326; n. 2073",,,,,"BEFEO IV, 977xxvi.",photos des estampages dLdL faites,,,
89,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 316,In situ,Stèle,A,32,ch.,202/60/19,antérieure aux suivantes,,312 ; n. 333,,,,"BEFEO IV, 946xvi.","P., 400.","coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.",,,
89,,,,Cour D,Vietnam,Quảng Nam,,,Mỹ Sơn,NTBMS 03MSD: 316,In situ,Stèle (usée),B,36,ch.,202/60/19,1010,,312 ; n. 333,,,,"BEFEO IV, 946xvi.","P., 400.","coquille Cœdès 940 pour 946; confusion Finot des faces A+B entre préambule et édition, plus fausse identification comme 'dalle'. Une des petites faces complètement dépourvues de lettres sous inscpection à même la pierre; l'autre extraordinairement effacée, c.-à-d. donnant l'impression de ne pas être inscrite du tout (mais quelques lettre se devinent encore). Le jeu d'est. EFEO soit incomplet, soit confusion dans inv. de 1923, et les 11 lignes de c comprises dans les 36 de B, auquel cas d devient c.",,,
